r1,r2,r3,r4,r5,r6,c1,c2,cost
3300.0,12000.0,3900.0,2700.0,2700.0,1800.0,1e-08,3.3e-08,1.4271369884142675
12000.0,180,6800.0,82000.0,5600.0,150,2.2e-09,4.7e-08,4.899843023275285
150,3300.0,8200.0,6800.0,120,56000.0,1.5e-09,1.5e-08,2.8413494513815203
3300.0,2700.0,1500.0,47000.0,680,470,3.3e-08,1.5e-08,4.9854233310916305
470,5600.0,270,3300.0,22000.0,15000.0,1.5e-08,2.2e-09,1.808960984865083
390,3900.0,390,1500.0,22000.0,5600.0,2.2e-09,1.5e-08,2.995166549477075
27000.0,3300.0,56000.0,56000.0,3900.0,39000.0,3.3e-08,2.2e-09,2.525588041129926
470,39000.0,6800.0,820,8200.0,33000.0,3.3e-09,1.5e-08,1.0040921640239537
8200.0,18000.0,470,27000.0,3900.0,18000.0,2.2e-09,1e-08,3.088331837750652
820,1000.0,1200.0,47000.0,15000.0,560,3.3e-09,6.8e-08,4.560666626605876
100,27000.0,1800.0,150,2700.0,8200.0,2.2e-08,2.2e-09,0.9578984051664222
47000.0,3900.0,22000.0,100,150,33000.0,1.5e-08,6.8e-08,1.0590161772494449
270,1800.0,120,270,56000.0,270,6.8e-08,1e-09,0.9925273324088434
330,15000.0,1500.0,120,5600.0,120,3.3e-08,6.8e-09,0.9809480249285799
820,1800.0,1500.0,5600.0,4700.0,470,2.2e-09,1.5e-09,4.715153425670624
180,330,390,120,820,8200.0,2.2e-08,4.7e-08,2.2869972280977198
12000.0,120,5600.0,27000.0,56000.0,3900.0,6.8e-08,4.7e-08,1.9216583093773385
56000.0,82000.0,33000.0,120,68000.0,18000.0,2.2e-08,2.2e-08,1.0089534913974056
4700.0,82000.0,22000.0,15000.0,5600.0,180,1e-08,4.7e-08,0.9646494942644598
68000.0,560,82000.0,3900.0,2200.0,12000.0,4.7e-09,2.2e-09,2.245672195666528
330,680,3300.0,470,1000.0,22000.0,3.3e-09,1e-09,3.202079817448445
120,560,22000.0,47000.0,56000.0,2700.0,4.7e-09,1.5e-09,0.9332705407333801
82000.0,12000.0,2700.0,270,82000.0,2700.0,4.7e-08,1e-09,0.9720517769627673
10000.0,33000.0,6800.0,18000.0,56000.0,560,2.2e-09,2.2e-08,1.0910223300576254
100,150,270,68000.0,2200.0,56000.0,4.7e-09,3.3e-09,2.878098629168441
82000.0,6800.0,3300.0,820,8200.0,3900.0,4.7e-08,1.5e-08,2.450518026110486
680,390,1000.0,1800.0,330,220,1e-08,2.2e-08,4.987157855727514
4700.0,68000.0,82000.0,3900.0,220,390,1.5e-08,3.3e-08,3.4786210676174365
8200.0,4700.0,6800.0,470,27000.0,120,2.2e-08,1e-08,0.6825287236911309
560,12000.0,27000.0,180,120,5600.0,3.3e-08,4.7e-08,1.4030348392512084
82000.0,47000.0,1000.0,4700.0,68000.0,220,6.8e-08,1e-09,0.9731114444289765
2700.0,390,3900.0,10000.0,390,270,2.2e-08,6.8e-09,4.4931837638242555
8200.0,2200.0,390,68000.0,3900.0,12000.0,2.2e-08,2.2e-08,2.560117169706749
270,47000.0,3900.0,15000.0,820,150,3.3e-08,1e-09,4.841597275615268
4700.0,470,390,2700.0,27000.0,1500.0,6.8e-08,1e-08,0.6747254099969879
680,56000.0,39000.0,68000.0,27000.0,680,3.3e-09,4.7e-09,0.9900587172276475
680,2200.0,150,150,560,5600.0,1.5e-08,6.8e-09,4.303758159731506
33000.0,180,3300.0,6800.0,1000.0,820,2.2e-08,1.5e-08,4.807270363817736
1500.0,1500.0,220,10000.0,1200.0,680,6.8e-09,2.2e-08,4.8753823167083965
1000.0,15000.0,15000.0,39000.0,39000.0,5600.0,4.7e-08,1e-09,0.9770311486140988
68000.0,100,560,2700.0,5600.0,100,2.2e-08,1.5e-08,1.3889718845030927
220,10000.0,120,8200.0,10000.0,390,2.2e-09,2.2e-09,4.958253665028345
330,2700.0,27000.0,33000.0,820,18000.0,1.5e-09,1e-09,3.627629726422994
150,1000.0,560,47000.0,220,1200.0,1.5e-09,3.3e-09,4.999402125921705
390,120,470,4700.0,27000.0,150,1.5e-08,1e-08,0.841573947854785
68000.0,82000.0,3300.0,6800.0,560,2200.0,1.5e-08,4.7e-08,2.9782749609657118
1200.0,680,39000.0,10000.0,2200.0,82000.0,1e-09,1e-08,1.2102881846888123
2200.0,390,18000.0,2200.0,560,1200.0,4.7e-09,4.7e-09,3.426320268002623
120,3300.0,1800.0,1800.0,10000.0,180,6.8e-09,1e-09,3.345414760650205
1800.0,390,470,270,1000.0,22000.0,6.8e-09,1e-08,2.3385409920157905
220,68000.0,6800.0,1800.0,47000.0,56000.0,6.8e-09,3.3e-09,0.9981814971921006
22000.0,330,39000.0,150,1000.0,390,2.2e-09,3.3e-09,2.4980981049489444
33000.0,5600.0,33000.0,47000.0,15000.0,820,1e-09,6.8e-08,2.863380378145391
330,220,2700.0,1800.0,47000.0,2700.0,1.5e-09,3.3e-09,3.25835482276789
56000.0,330,2200.0,2700.0,33000.0,68000.0,6.8e-08,1e-08,1.6012081411878096
180,4700.0,56000.0,2200.0,270,39000.0,6.8e-08,6.8e-08,1.2645943862297404
4700.0,1200.0,22000.0,560,390,6800.0,3.3e-08,2.2e-08,1.1036789576201698
1800.0,270,560,820,390,560,6.8e-09,4.7e-08,3.549519873513018
150,8200.0,22000.0,470,33000.0,4700.0,4.7e-08,1e-09,0.9994795486585649
1200.0,22000.0,8200.0,22000.0,270,220,1.5e-08,4.7e-08,3.0002394830897763
820,18000.0,15000.0,39000.0,39000.0,270,1e-08,6.8e-08,0.9543580268914599
15000.0,1000.0,220,12000.0,3900.0,3300.0,4.7e-08,6.8e-08,2.5586514709663284
6800.0,150,3900.0,68000.0,180,470,2.2e-09,2.2e-09,4.997291648298582
390,820,1200.0,470,5600.0,150,1e-09,6.8e-09,3.1747297105781405
560,150,330,82000.0,82000.0,10000.0,6.8e-09,6.8e-09,3.19064455051214
150,150,270,2200.0,1800.0,120,1.5e-09,2.2e-08,4.998895192912465
39000.0,15000.0,220,27000.0,100,68000.0,3.3e-08,1.5e-09,2.8770416786013655
10000.0,15000.0,560,33000.0,330,68000.0,6.8e-08,3.3e-09,2.7631645295007026
82000.0,22000.0,120,470,470,2200.0,2.2e-08,1.5e-08,3.8210457225273156
330,2700.0,82000.0,220,270,390,4.7e-09,1.5e-09,4.79772995131671
22000.0,220,2700.0,22000.0,100,820,1e-08,6.8e-09,4.911676905148292
1000.0,68000.0,560,560,6800.0,390,6.8e-09,4.7e-08,0.9957497126947753
100,68000.0,820,12000.0,68000.0,680,1.5e-09,4.7e-08,0.9879223514864731
220,68000.0,180,18000.0,220,470,3.3e-08,2.2e-08,4.887000651996865
68000.0,10000.0,2700.0,47000.0,68000.0,22000.0,1e-09,6.8e-08,1.5111906282895404
6800.0,27000.0,680,5600.0,1500.0,6800.0,1e-09,3.3e-09,4.957557908115326
4700.0,5600.0,56000.0,33000.0,3300.0,1000.0,1e-08,3.3e-09,1.0304978354304772
56000.0,1800.0,3300.0,820,1200.0,390,2.2e-09,4.7e-08,2.781246296622001
1800.0,47000.0,18000.0,100,1500.0,820,2.2e-09,3.3e-08,2.5325095126714343
15000.0,33000.0,470,100,560,12000.0,1e-09,1e-08,2.558455463017826
100,560,4700.0,4700.0,270,180,3.3e-08,3.3e-08,0.9362296266089624
120,220,680,39000.0,100,47000.0,4.7e-09,4.7e-09,2.8350209856388973
3300.0,120,82000.0,3300.0,5600.0,2700.0,3.3e-08,2.2e-08,1.6141917277518756
6800.0,2700.0,12000.0,3300.0,2200.0,2200.0,2.2e-08,6.8e-09,2.1715801178893845
